fecha,zona_prov,letra,w_mean,Año,Valor_USD_Blue_Julio,Salario_USD
2013-01-01,SANTA FE,H,8011,2013,8.0,1001.375
2013-01-01,SANTA FE,I,3766,2013,8.0,470.75
2013-01-01,SANTA FE,J,9584,2013,8.0,1198.0
2013-01-01,SANTA FE,K,15261,2013,8.0,1907.625
2013-01-01,SANTA FE,L,5197,2013,8.0,649.625
2013-01-01,SANTA FE,M,5251,2013,8.0,656.375
2013-01-01,SANTA FE,N,5140,2013,8.0,642.5
2013-01-01,SANTA FE,O,8100,2013,8.0,1012.5
2013-01-01,SANTA FE,P,5451,2013,8.0,681.375
2013-01-01,SANTA FE,Q,7032,2013,8.0,879.0
2013-01-01,SANTA FE,R,6595,2013,8.0,824.375
2013-01-01,SANTA FE,S,6569,2013,8.0,821.125
2013-01-01,SANTA FE,Z,5002,2013,8.0,625.25
2013-01-01,SANTIAGO DEL ESTERO,A,4216,2013,8.0,527.0
2013-01-01,SANTIAGO DEL ESTERO,B,5977,2013,8.0,747.125
2013-01-01,SANTIAGO DEL ESTERO,C,5635,2013,8.0,704.375
2013-01-01,SANTIAGO DEL ESTERO,D,13394,2013,8.0,1674.25
2013-01-01,SANTIAGO DEL ESTERO,E,6916,2013,8.0,864.5
2013-01-01,SANTIAGO DEL ESTERO,F,5247,2013,8.0,655.875
2013-01-01,SANTIAGO DEL ESTERO,G,5107,2013,8.0,638.375
2013-01-01,SANTIAGO DEL ESTERO,H,8007,2013,8.0,1000.875
2013-01-01,SANTIAGO DEL ESTERO,I,3522,2013,8.0,440.25
2013-01-01,SANTIAGO DEL ESTERO,J,7832,2013,8.0,979.0
2013-01-01,SANTIAGO DEL ESTERO,K,10406,2013,8.0,1300.75
2013-01-01,SANTIAGO DEL ESTERO,L,6017,2013,8.0,752.125
2013-01-01,SANTIAGO DEL ESTERO,M,3443,2013,8.0,430.375
2013-01-01,SANTIAGO DEL ESTERO,N,4190,2013,8.0,523.75
2013-01-01,SANTIAGO DEL ESTERO,O,4426,2013,8.0,553.25
2013-01-01,SANTIAGO DEL ESTERO,P,4698,2013,8.0,587.25
2013-01-01,SANTIAGO DEL ESTERO,Q,4742,2013,8.0,592.75
2013-01-01,SANTIAGO DEL ESTERO,R,5090,2013,8.0,636.25
