fecha,zona_prov,letra,w_mean
2013-02-01,CORDOBA,Z,7540
2013-02-01,CORRIENTES,A,4092
2013-02-01,CORRIENTES,B,5508
2013-02-01,CORRIENTES,C,7132
2013-02-01,CORRIENTES,D,12769
2013-02-01,CORRIENTES,E,7589
2013-02-01,CORRIENTES,F,4721
2013-02-01,CORRIENTES,G,5455
2013-02-01,CORRIENTES,H,7820
2013-02-01,CORRIENTES,I,3948
2013-02-01,CORRIENTES,J,7712
2013-02-01,CORRIENTES,K,12785
2013-02-01,CORRIENTES,L,4700
2013-02-01,CORRIENTES,M,5401
2013-02-01,CORRIENTES,N,4189
2013-02-01,CORRIENTES,O,6359
2013-02-01,CORRIENTES,P,6473
2013-02-01,CORRIENTES,Q,5998
2013-02-01,CORRIENTES,R,6210
2013-02-01,CORRIENTES,S,4925
2013-02-01,CORRIENTES,Z,9300
2013-02-01,ENTRE RIOS,A,4508
2013-02-01,ENTRE RIOS,B,6471
2013-02-01,ENTRE RIOS,C,6925
2013-02-01,ENTRE RIOS,D,15289
2013-02-01,ENTRE RIOS,E,5205
2013-02-01,ENTRE RIOS,F,4602
2013-02-01,ENTRE RIOS,G,5880
2013-02-01,ENTRE RIOS,H,7819
2013-02-01,ENTRE RIOS,I,3641
2013-02-01,ENTRE RIOS,J,8100
2013-02-01,ENTRE RIOS,K,13441
2013-02-01,ENTRE RIOS,L,4894
2013-02-01,ENTRE RIOS,M,5331
2013-02-01,ENTRE RIOS,N,4825
2013-02-01,ENTRE RIOS,O,5800
2013-02-01,ENTRE RIOS,P,4185
2013-02-01,ENTRE RIOS,Q,6142
2013-02-01,ENTRE RIOS,R,4944
2013-02-01,ENTRE RIOS,S,5561
2013-02-01,ENTRE RIOS,Z,11949
2013-02-01,FORMOSA,A,4377
2013-02-01,FORMOSA,B,23960
2013-02-01,FORMOSA,C,7516
2013-02-01,FORMOSA,D,9816
2013-02-01,FORMOSA,E,6960
2013-02-01,FORMOSA,F,4543
2013-02-01,FORMOSA,G,5425
2013-02-01,FORMOSA,H,7842
2013-02-01,FORMOSA,I,4925
2013-02-01,FORMOSA,J,7337
2013-02-01,FORMOSA,K,11906
2013-02-01,FORMOSA,L,5131
2013-02-01,FORMOSA,M,6488
2013-02-01,FORMOSA,N,4292
2013-02-01,FORMOSA,O,5803
2013-02-01,FORMOSA,P,6229
2013-02-01,FORMOSA,Q,5211
2013-02-01,FORMOSA,R,5125
2013-02-01,FORMOSA,S,4892
2013-02-01,JUJUY,A,2980
2013-02-01,JUJUY,B,9947
2013-02-01,JUJUY,C,7431
2013-02-01,JUJUY,D,11908
2013-02-01,JUJUY,E,6957
